,REP_DATE,CAD_date_time,X_COORDINATE,Y_COORDINATE,search_success,isMale,race_known,BLACK,HISPANIC OR LATINO,WHITE,CALL FOR SERVICE,CONSENSUAL CONTACT,MOTOR VEHICLE DRIVER,OTHER,PRE-EXISTING KNOWLEDGE,SUSPICIOUS PERSON / VEHICLE,VIOLATION OF CITY ORDIANCE,VIOLATION OF PENAL CODE,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,ADAM PD,BAKER,CHARLIE,DAVID,EDWARD,FRANK,GEORGE,HENR,IDA,OOC,TRAVIS PD
3930,1.524345148604475,1.537811713073114,-1.7944386860102166,-1.30723786561241,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4039,-0.031236580914026126,-0.025107130009356958,-1.7280999627588136,-1.5814816586974043,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4072,1.524345148604475,1.537811713073114,0.4273820451082016,0.7378817972033995,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4306,1.524345148604475,1.537811713073114,-0.8208963837493672,-0.3782370165369917,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4490,-0.031236580914026126,-0.025107130009356958,0.440592353634455,-0.9721351009126126,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4513,-0.031236580914026126,-0.025107130009356958,-0.015546198014802275,0.13948718310349528,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4530,-0.031236580914026126,-0.025107130009356958,-1.4905058630330095,-1.2230058434505904,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4549,-0.031236580914026126,-0.025107130009356958,-2.4273847727898366,-0.9574434691402022,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4552,-1.5868183104325273,-1.5880259730918278,0.9604850029538918,0.19669550682333584,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4587,-0.031236580914026126,-0.025107130009356958,0.49333786086609,0.8848871551200637,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4602,-0.031236580914026126,-0.025107130009356958,-0.8072074408562205,-1.7900137896730721,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4698,-0.031236580914026126,-0.025107130009356958,-1.9760325648095116,-1.5293041058572074,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4707,-0.031236580914026126,-0.025107130009356958,0.9091753988229365,0.19050721344041144,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4715,-0.031236580914026126,-0.025107130009356958,0.5390953063410837,0.6640229574748271,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4726,-0.031236580914026126,-0.025107130009356958,0.8544196272503499,1.1171484974129884,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4799,-1.5868183104325273,-1.5880259730918278,-1.0527468710724526,-0.5006672813070784,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4812,-0.031236580914026126,-0.025107130009356958,-1.691245116508034,-1.429935250960177,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4868,-0.031236580914026126,-0.025107130009356958,-0.7589610966733821,-1.6014711819271386,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4919,-1.5868183104325273,-1.5880259730918278,-0.7548448411181001,-2.1362465784428775,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4956,-0.031236580914026126,-0.025107130009356958,0.5722168045300959,-0.01473043041053402,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4985,1.524345148604475,1.537811713073114,0.29460887173201694,0.509938904249638,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5010,1.524345148604475,1.537811713073114,-0.729860127166273,-0.9950184304005488,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5089,-0.031236580914026126,-0.025107130009356958,0.061513935055009294,1.202671602366929,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5116,-0.031236580914026126,-0.025107130009356958,-0.4966694636158867,-1.2016807173324553,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5158,-1.5868183104325273,-1.5880259730918278,0.11540816476718807,-0.46211287792857114,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5195,-0.031236580914026126,-0.025107130009356958,0.28398318878698703,1.2980336485987567,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5236,-0.031236580914026126,-0.025107130009356958,-0.30607725871899877,1.1199977835749104,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5252,-0.031236580914026126,-0.025107130009356958,0.7291131499976998,1.376210937666492,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5279,1.524345148604475,1.537811713073114,0.39052719885742215,0.8727776889318951,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
