PRIMARY_KEY,REP_DATE,CAD_date_time,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,CORRECTED_search_based_on,CORRECTED_search_discovered,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,CAD_sector,CouncilDistrict
20173541019,12/20/2017,12/20/2017,M,HISPANIC OR LATINO,12990 N US 183 HWY SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3102114,10131981,ADAM PD,Council District 6
2017940854,04/04/2017,04/04/2017,M,BLACK,6200 BLOCK LOYOLA LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3143028,10083917,CHARLIE,Council District 1
2017682067,03/09/2017,03/09/2017,F,WHITE,1600 E BEN WHITE BLVD SVRD EB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112199,10051604,DAVID,Council District 3
2017551255,02/24/2017,02/24/2017,M,HISPANIC OR LATINO,5500 PALO BLANCO LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112724,10044311,FRANK,Council District 2
20171210167,05/01/2017,05/01/2017,M,HISPANIC OR LATINO,GEORGIAN DR / W BRAKER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3132757,10111556,EDWARD,Council District 4
20172340678,08/22/2017,08/22/2017,M,WHITE,5602 GLOUCESTER LN,NO = 2,CALL FOR SERVICE,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133849,10083743,IDA,Council District 1
20173061400,11/02/2017,11/02/2017,M,HISPANIC OR LATINO,700 W STASSNEY LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3102571,10048868,DAVID,Council District 2
20171001754,04/10/2017,04/10/2017,M,HISPANIC OR LATINO,6611 E US 290 HWY SVRD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128958,10090221,IDA,Council District 1
20172751669,10/02/2017,10/02/2017,F,WHITE,9801 TALLEYRAN DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,FRISK FOR SAFETY,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3094610,10125543,ADAM PD,Council District 6
20172751834,10/03/2017,10/02/2017,M,HISPANIC OR LATINO,700 BLOCK W SLAUGHTER LN,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3096443,10036163,FRANK,Council District 2
20172711835,09/28/2017,09/28/2017,F,WHITE,10100 ANDERSON MILL RD,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3094659,10135463,ADAM PD,Council District 6
2017151396,01/15/2017,01/15/2017,M,HISPANIC OR LATINO,1500 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3108346,10073002,BAKER,Council District 9
2017251853,01/25/2017,01/25/2017,M,WHITE,11700 BIG TRL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114389,10123843,ADAM PD,Council District 6
2017400171,02/09/2017,02/09/2017,M,BLACK,1400 RUTLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124853,10108083,EDWARD,Council District 4
2017580030,02/27/2017,02/27/2017,M,HISPANIC OR LATINO,4300 BLOCK AIRPORT BLVD,NO = 2,,,,,3124521,10081905,BAKER,Council District 9
2017720114,03/13/2017,03/13/2017,F,BLACK,100 E 5TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114253,10070417,GEORGE,Council District 9
20171980727,07/17/2017,07/17/2017,M,BLACK,E US 290 HWY SVRD EB / CAMERON RD,NO = 2,,,,,3128674,10090268,IDA,Council District 1
20171321303,05/12/2017,05/12/2017,M,WHITE,BERKMAN DR / CHATHAM AVE,NO = 2,,,,,3129925,10088144,IDA,Council District 1
20172420002,08/30/2017,08/30/2017,M,HISPANIC OR LATINO,2600 SANTA ROSA ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3123579,10066962,CHARLIE,Council District 3
20173201755,11/16/2017,11/16/2017,F,BLACK,BROOKS ST/E KOENIG LN SVRD WB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124764,10090471,IDA,
20173260132,11/22/2017,11/22/2017,M,HISPANIC OR LATINO,2800 MONTOPOLIS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,CONTRABAND/EVIDENCE IN PLAIN VIEW,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125398,10052338,HENR,Council District 3
2017851203,03/26/2017,03/26/2017,M,HISPANIC OR LATINO,8800 N IH 35 SVRD SB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129362,10101733,EDWARD,Council District 4
20172421261,08/30/2017,08/30/2017,F,ASIAN,LOYOLA LN / ED BLUESTEIN BLVD SB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3139837,10083931,CHARLIE,Council District 1
20173210228,11/17/2017,11/17/2017,F,BLACK,E 11TH ST / ROSEWOOD AVE,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3119323,10070988,CHARLIE,Council District 1
20172541749,09/11/2017,09/11/2017,M,BLACK,N FM 620 RD NB/ W PARMER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3105681,10146194,ADAM PD,
20172740237,10/01/2017,10/01/2017,M,HISPANIC OR LATINO,1700 E RIVERSIDE DR,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3118582,10062222,HENR,Council District 3
2017820162,03/23/2017,03/23/2017,F,HISPANIC OR LATINO,10000 N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,FRISK FOR SAFETY,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131954,10105965,EDWARD,Council District 4
2017440039,02/13/2017,02/13/2017,M,HISPANIC OR LATINO,5400 W US 290 HWY SVRD EB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3084294,10058480,DAVID,Council District 8
20172181464,08/06/2017,08/06/2017,M,HISPANIC OR LATINO,2410 E RIVERSIDE DR,NO = 2,,,,,3120441,10059515,HENR,Council District 3
20173031898,10/31/2017,10/30/2017,M,BLACK,201 W STASSNEY LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3104206,10047698,FRANK,Council District 2
2017370044,02/06/2017,02/06/2017,M,HISPANIC OR LATINO,1523 TINNIN FORD RD,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119840,10060848,HENR,Council District 3
2017551837,02/24/2017,02/24/2017,M,BLACK,6100 BLOCK WAGON BEND TRL,YES = 1,VIOLATION OF PENAL CODE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110211,10042506,FRANK,Council District 2
20172310200,08/19/2017,08/19/2017,F,HISPANIC OR LATINO,8220 W SH 71,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3068872,10061969,DAVID,Council District 8
20172421602,08/30/2017,08/30/2017,F,BLACK,N LAMAR BLVD / W BRAKER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131136,10112573,EDWARD,Council District 4
20172951387,10/22/2017,10/22/2017,M,WHITE,7600 N MOPAC EXPY SB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112681,10103863,BAKER,Council District 10
